State,EV_R,EV_D,EV_I,Total_Vote,R_Percen,D_Percen,Other_Percen,R_Actual,D_Actual,Other_Actual,I_Actual,I_Percen,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,0,1006093,72.43,25.54,2.03,728701,256923,20469,0,0.0,46.89,AL,#de2d26,4,#74c476,51.62
Alaska,3,0,0,95219,58.13,34.62,7.25,55349,32967,6903,0,0.0,23.51,AK,#fcae91,2,#fee5d9,20.88
Arizona,6,0,0,653505,61.64,30.38,7.98,402812,198540,52153,0,0.0,31.26,AZ,#fb6a4a,3,#fee5d9,11.5
Arkansas,6,0,0,647666,68.82,30.71,0.47,445751,198899,3016,0,0.0,38.11,AR,#fb6a4a,3,#74c476,37.43
California,45,0,0,8367862,55.0,41.54,3.46,4602096,3475847,289919,0,0.0,13.46,CA,#fee5d9,1,#fee5d9,10.38
Colorado,7,0,0,953884,62.61,34.59,2.8,597189,329980,26715,0,0.0,28.02,CO,#fcae91,2,#fee5d9,18.88
Connecticut,8,0,0,1384277,58.57,40.13,1.3,810763,555498,18016,0,0.0,18.44,CT,#fee5d9,1,#eff3ff,23.6
Delaware,3,0,0,235516,59.6,39.18,1.22,140357,92283,2876,0,0.0,20.42,DE,#fcae91,2,#fee5d9,16.91
D. C.,0,3,0,163421,21.56,78.1,0.34,35226,127627,568,0,0.0,-56.54,DC,#08519c,-5,#08519c,7.1
Florida,17,0,0,2583283,71.91,27.8,0.29,1857759,718117,7407,0,0.0,44.11,FL,#de2d26,4,#fee5d9,34.51
Georgia,12,0,0,1174772,75.04,24.65,0.31,881496,289529,3747,0,0.0,50.39,GA,#a50f15,5,#74c476,46.74
Hawaii,4,0,0,270274,62.48,37.52,0.0,168865,101409,0,0,0.0,24.96,HI,#fcae91,2,#6baed6,46.09
Idaho,4,0,0,310379,64.24,26.04,9.72,199384,80826,30169,0,0.0,38.2,ID,#fb6a4a,3,#fcae91,12.07
Illinois,26,0,0,4723236,59.03,40.51,0.46,2788179,1913472,21585,0,0.0,18.52,IL,#fee5d9,1,#fee5d9,15.59
Indiana,13,0,0,2125529,66.11,33.34,0.55,1405154,708568,11807,0,0.0,32.77,IN,#fb6a4a,3,#fee5d9,20.47
Iowa,8,0,0,1225944,57.61,40.48,1.91,706207,496206,23531,0,0.0,17.13,IA,#fee5d9,1,#fee5d9,4.94
Kansas,7,0,0,916095,67.66,29.5,2.84,619812,270287,25996,0,0.0,38.16,KS,#fb6a4a,3,#fcae91,18.04
Kentucky,9,0,0,1067499,63.37,34.77,1.86,676446,371159,19894,0,0.0,28.6,KY,#fcae91,2,#fee5d9,22.46
Louisiana,10,0,0,1051491,65.32,28.35,6.33,686852,298142,66497,0,0.0,36.97,LA,#fb6a4a,3,#74c476,41.71
Maine,4,0,0,417271,61.46,38.48,0.06,256458,160584,229,0,0.0,22.98,ME,#fcae91,2,#bdd7e7,35.21
Maryland,10,0,0,1353812,61.26,37.36,1.38,829305,505781,18726,0,0.0,23.9,MD,#fcae91,2,#eff3ff,25.55
Massachusetts,0,14,0,2458756,45.23,54.2,0.57,1112078,1332540,14138,0,0.0,-8.97,MA,#eff3ff,-1,#3182bd,21.15
Michigan,21,0,0,3490325,56.2,41.81,1.99,1961721,1459435,69169,0,0.0,14.39,MI,#fee5d9,1,#eff3ff,21.11
Minnesota,10,0,0,1741652,51.58,46.07,2.35,898269,802346,41037,0,0.0,5.51,MN,#fee5d9,1,#bdd7e7,18.05
Mississippi,7,0,0,645963,78.2,19.63,2.17,505125,126782,14056,0,0.0,58.57,MS,#a50f15,5,#74c476,68.07
Missouri,12,0,0,1852589,62.29,37.71,0.0,1154058,698531,0,0,0.0,24.58,MO,#fcae91,2,#fee5d9,23.45
Montana,4,0,0,317603,57.93,37.85,4.22,183976,120197,13430,0,0.0,20.08,MT,#fcae91,2,#fee5d9,11.07
Nebraska,5,0,0,576289,70.5,29.5,0.0,406298,169991,0,0,0.0,41.0,NE,#de2d26,4,#fcae91,12.99
Nevada,3,0,0,181766,63.68,36.32,0.0,115750,66016,0,0,0.0,27.36,NV,#fcae91,2,#fee5d9,19.19
New Hampshire,4,0,0,334059,63.98,34.85,1.17,213724,116435,3900,0,0.0,29.13,NH,#fcae91,2,#fee5d9,20.96
New Jersey,17,0,0,2997229,61.57,36.77,1.66,1845502,1102211,49516,0,0.0,24.8,NJ,#fcae91,2,#fee5d9,22.67
New Mexico,4,0,0,385931,61.05,36.56,2.39,235606,141084,9241,0,0.0,24.49,NM,#fcae91,2,#fee5d9,12.39
New York,41,0,0,7161830,58.54,41.21,0.25,4192778,2951084,17968,0,0.0,17.33,NY,#fee5d9,1,#eff3ff,22.79
North Carolina,13,0,0,1518612,69.46,28.89,1.65,1054889,438705,25018,0,0.0,40.57,NC,#de2d26,4,#fee5d9,30.3
North Dakota,3,0,0,280514,62.07,35.79,2.14,174109,100384,6021,0,0.0,26.28,ND,#fcae91,2,#fee5d9,8.57
Ohio,25,0,0,4094787,59.63,38.07,2.3,2441827,1558889,94071,0,0.0,21.56,OH,#fcae91,2,#fee5d9,19.28
Oklahoma,8,0,0,1029900,73.7,24.0,2.3,759025,247147,23728,0,0.0,49.7,OK,#de2d26,4,#fee5d9,34.01
Oregon,6,0,0,927946,52.45,42.33,5.22,486686,392760,48500,0,0.0,10.12,OR,#fee5d9,1,#fee5d9,4.07
Pennsylvania,27,0,0,4592105,59.11,39.13,1.76,2714521,1796951,80633,0,0.0,19.98,PA,#fee5d9,1,#eff3ff,23.55
Rhode Island,4,0,0,415808,53.0,46.81,0.19,220383,194645,780,0,0.0,6.19,RI,#fee5d9,1,#3182bd,38.44
South Carolina,8,0,0,677880,70.58,27.92,1.5,478427,189270,10183,0,0.0,42.66,SC,#de2d26,4,#fee5d9,34.18
South Dakota,4,0,0,307415,54.15,45.52,0.33,166476,139945,994,0,0.0,8.63,SD,#fee5d9,1,#fee5d9,-2.68
Tennessee,10,0,0,1201182,67.7,29.75,2.55,813147,357293,30742,0,0.0,37.95,TN,#fb6a4a,3,#fee5d9,28.23
Texas,26,0,0,3472714,66.2,33.24,0.56,2298896,1154291,19527,0,0.0,32.96,TX,#fb6a4a,3,#eff3ff,34.23
Utah,4,0,0,478476,67.64,26.39,5.97,323643,126284,28549,0,0.0,41.25,UT,#de2d26,4,#fee5d9,21.83
Vermont,3,0,0,186946,62.66,36.47,0.87,117149,68174,1623,0,0.0,26.19,VT,#fcae91,2,#fee5d9,16.97
Virginia,11,0,1,1457019,67.84,30.12,2.04,988493,438887,29639,0,0.0,37.72,VA,#fb6a4a,3,#fee5d9,26.85
Washington,9,0,0,1470847,56.92,38.64,4.44,837135,568334,65378,0,0.0,18.28,WA,#fee5d9,1,#eff3ff,20.39
West Virginia,6,0,0,762399,63.61,36.39,0.0,484964,277435,0,0,0.0,27.22,WV,#fcae91,2,#eff3ff,36.04
Wisconsin,11,0,0,1852890,53.4,43.72,2.88,989430,810174,53286,0,0.0,9.68,WI,#fee5d9,1,#fee5d9,6.06
Wyoming,3,0,0,145570,69.01,30.47,0.52,100464,44358,748,0,0.0,38.54,WY,#fb6a4a,3,#fcae91,18.29
