Year,Receipts,Outlays,GDP,Color
1920,0,0,0,transparent
1924,0,0,0,transparent
1928,0,0,0,transparent
1932,1.9,4.7,67.6,#08519c
1936,3.9,8.2,78.5,#08519c
1940,6.5,9.5,96.8,#08519c
1944,43.7,91.3,209.2,#08519c
1948,41.6,29.8,256.6,#08519c
1952,66.2,67.7,348.7,#a50f15
1956,74.6,70.6,427,#a50f15
1960,92.5,92.2,518.9,#08519c
1964,112.6,118.5,641.5,#08519c
1968,153,178.1,868.4,#a50f15
1972,207.3,230.7,1176.5,#a50f15
1976,298.1,371.8,1738.1,#08519c
1980,517.1,590.9,2724.2,#a50f15
1984,666.4,851.8,3844.4,#a50f15
1988,909.2,1064.4,5008.5,#a50f15
1992,1091.2,1381.5,6242,#08519c
1996,1453.1,1560.5,7718.3,#08519c
2000,2025.2,1789,9821,#a50f15
2004,1880.1,2292.9,11676,#a50f15
2008,2524,2982.6,14334.4,#08519c
2012,2468.6,3795.5,15601.5,#08519c