State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank,Last_Color,Shift
Alabama,9,0,1341929,48.75,47.45,1.23,2.57,654192,636730,16481,34526,0,1.3,AL,#fee5d9,1,#bdd7e7,14.42
Alaska,3,0,158445,54.35,26.41,7.04,12.2,86112,41842,11155,19336,0,27.94,AK,#fcae91,2,#fcae91,5.69
Arizona,6,0,873945,60.61,28.24,8.81,2.34,529688,246843,76952,20462,0,32.37,AZ,#fb6a4a,3,#fee5d9,15.8
Arkansas,6,0,837582,48.13,47.52,2.68,1.67,403164,398041,22468,13909,0,0.61,AR,#fee5d9,1,#3182bd,30.62
California,45,0,8587063,52.69,35.91,8.62,2.78,4524858,3083661,739833,238711,0,16.78,CA,#fee5d9,1,#fee5d9,15.0
Colorado,7,0,1184415,55.07,31.07,11.03,2.83,652264,367973,130633,33545,0,24.0,CO,#fcae91,2,#fee5d9,12.53
Connecticut,8,0,1406285,48.16,38.52,12.22,1.1,677210,541732,171807,15536,0,9.64,CT,#fee5d9,1,#fee5d9,4.48
Delaware,3,0,235668,47.21,44.87,6.91,1.01,111252,105754,16288,2374,0,2.34,DE,#fee5d9,1,#eff3ff,7.75
D. C.,0,3,173889,13.41,74.89,9.28,2.42,23313,130231,16131,4214,0,-61.48,DC,#08519c,-5,#08519c,3.64
Florida,17,0,3687026,55.52,38.5,5.14,0.84,2046951,1419475,189692,30908,0,17.02,FL,#fee5d9,1,#eff3ff,22.31
Georgia,0,12,1597467,40.95,55.76,2.26,1.03,654168,890733,36055,16511,0,-14.81,GA,#bdd7e7,-2,#3182bd,18.97
Hawaii,0,4,303287,42.9,44.8,10.56,1.74,130112,135879,32021,5275,0,-1.9,HI,#eff3ff,-1,#eff3ff,0.63
Idaho,4,0,437431,66.46,25.19,6.19,2.16,290699,110192,27058,9482,0,41.27,ID,#de2d26,4,#fcae91,18.51
Illinois,26,0,4749721,49.65,41.72,7.3,1.33,2358049,1981413,346754,63505,0,7.93,IL,#fee5d9,1,#fee5d9,5.96
Indiana,13,0,2242033,56.01,37.65,4.98,1.36,1255656,844197,111639,30541,0,18.36,IN,#fee5d9,1,#fee5d9,10.74
Iowa,8,0,1317661,51.31,38.6,8.78,1.31,676026,508672,115633,17330,0,12.71,IA,#fee5d9,1,#fee5d9,11.7
Kansas,7,0,979795,57.85,33.29,6.96,1.9,566812,326150,68231,18602,0,24.56,KS,#fcae91,2,#fee5d9,17.01
Kentucky,9,0,1294627,49.07,47.61,2.4,0.92,635274,616417,31127,11809,0,1.46,KY,#fee5d9,1,#eff3ff,8.64
Louisiana,10,0,1548591,51.2,45.75,1.7,1.35,792853,708453,26345,20940,0,5.45,LA,#fee5d9,1,#eff3ff,11.23
Maine,4,0,523011,45.61,42.25,10.2,1.94,238522,220974,53327,10188,0,3.36,ME,#fee5d9,1,#fee5d9,2.52
Maryland,0,10,1540496,44.18,47.14,7.76,0.92,680606,726161,119537,14192,0,-2.96,MD,#eff3ff,-1,#eff3ff,3.12
Massachusetts,14,0,2524298,41.9,41.75,15.15,1.2,1057631,1053802,382539,30326,0,0.15,MA,#fee5d9,1,#bdd7e7,15.82
Michigan,21,0,3909725,48.99,42.5,7.04,1.47,1915225,1661532,275223,57745,0,6.49,MI,#fee5d9,1,#fee5d9,1.1
Minnesota,0,10,2051953,42.56,46.5,8.53,2.41,873241,954174,174990,49548,0,-3.94,MN,#eff3ff,-1,#bdd7e7,8.94
Mississippi,7,0,892620,49.42,48.09,1.35,1.14,441089,429281,12036,10214,0,1.33,MS,#fee5d9,1,#eff3ff,3.21
Missouri,12,0,2099824,51.16,44.35,3.71,0.78,1074181,931182,77920,16541,0,6.81,MO,#fee5d9,1,#eff3ff,10.44
Montana,4,0,363952,56.82,32.43,8.05,2.7,206814,118032,29281,9825,0,24.39,MT,#fcae91,2,#fee5d9,16.95
Nebraska,5,0,640854,65.53,26.04,7.02,1.41,419937,166851,44993,9073,0,39.49,NE,#fb6a4a,3,#fcae91,18.76
Nevada,3,0,247885,62.54,26.89,7.12,3.45,155017,66666,17651,8551,0,35.65,NV,#fb6a4a,3,#fee5d9,31.29
New Hampshire,4,0,383999,57.74,28.35,12.94,0.97,221705,108864,49693,3737,0,29.39,NH,#fcae91,2,#fee5d9,18.11
New Jersey,17,0,2975684,51.97,38.56,7.88,1.59,1546557,1147364,234632,47131,0,13.41,NJ,#fee5d9,1,#fee5d9,11.25
New Mexico,4,0,456237,54.97,36.78,6.46,1.79,250779,167826,29459,8173,0,18.19,NM,#fee5d9,1,#fee5d9,15.72
New York,41,0,6201959,46.66,43.99,7.54,1.81,2893831,2728372,467801,111955,0,2.67,NY,#fee5d9,1,#eff3ff,7.09
North Carolina,13,0,1855833,49.3,47.18,2.85,0.67,915018,875635,52800,12380,0,2.12,NC,#fee5d9,1,#bdd7e7,13.17
North Dakota,3,0,301545,64.23,26.26,7.84,1.67,193695,79189,23640,5021,0,37.97,ND,#fb6a4a,3,#fee5d9,32.11
Ohio,25,0,4283603,51.51,40.91,5.94,1.64,2206545,1752414,254472,70172,0,10.6,OH,#fee5d9,1,#eff3ff,10.87
Oklahoma,8,0,1149708,60.5,34.97,3.33,1.2,695570,402026,38284,13828,0,25.53,OK,#fcae91,2,#fee5d9,24.32
Oregon,6,0,1181516,48.33,38.67,9.51,3.49,571044,456890,112389,41193,0,9.66,OR,#fee5d9,1,#fee5d9,9.5
Pennsylvania,27,0,4561501,49.59,42.48,6.42,1.51,2261872,1937540,292921,69168,0,7.11,PA,#fee5d9,1,#eff3ff,9.78
Rhode Island,0,4,416072,37.2,47.67,14.38,0.75,154793,198342,59819,3118,0,-10.47,RI,#bdd7e7,-2,#bdd7e7,0.81
South Carolina,8,0,890083,49.57,48.04,1.59,0.8,441207,427560,14150,7166,0,1.53,SC,#fee5d9,1,#bdd7e7,14.57
South Dakota,4,0,327703,60.53,31.69,6.54,1.24,198343,103855,21431,4074,0,28.84,SD,#fcae91,2,#fee5d9,27.36
Tennessee,10,0,1617616,48.7,48.41,2.22,0.67,787761,783051,35991,10813,0,0.29,TN,#fee5d9,1,#bdd7e7,13.29
Texas,26,0,4541637,55.28,41.42,2.46,0.84,2510705,1881147,111613,38172,0,13.86,TX,#fee5d9,1,#eff3ff,17.03
Utah,4,0,604222,72.77,20.57,5.01,1.65,439687,124266,30284,9985,0,52.2,UT,#a50f15,5,#fcae91,23.41
Vermont,3,0,213207,44.37,38.41,14.9,2.32,94598,81891,31760,4958,0,5.96,VT,#fee5d9,1,#fee5d9,-5.24
Virginia,12,0,1866032,53.03,40.31,5.11,1.55,989609,752174,95418,28831,0,12.72,VA,#fee5d9,1,#fee5d9,11.39
Washington,9,0,1742394,49.66,37.32,10.62,2.4,865244,650193,185073,41884,0,12.34,WA,#fee5d9,1,#fee5d9,8.45
West Virginia,0,6,737715,45.3,49.81,4.3,0.59,334206,367462,31691,4356,0,-4.51,WV,#eff3ff,-1,#bdd7e7,11.63
Wisconsin,11,0,2273221,47.9,43.18,7.07,1.85,1088845,981584,160657,42135,0,4.72,WI,#fee5d9,1,#eff3ff,6.39
Wyoming,3,0,176713,62.64,27.97,6.83,2.56,110700,49427,12072,4514,0,34.67,WY,#fb6a4a,3,#fee5d9,15.18
